FEATURE CORRELATIONS
Feature 0Feature 1Feature 2
DECISION FUNCTION
-1.18655382092: poly,state-n,状态,华盛顿州,-0.0176008097083,poly
-1.13814790831: poly,consider-v,考虑,算,0.00552411020636,poly
-1.09732242353: poly,focus-v,为主,集中,0.150220412176,syn
-1.08343442997: poly,class-n,教室,阶级,-0.0297454631665,poly
-1.0814163193: poly,continue-v,假如说,下去,0.114145011549,syn
-1.0737737887: poly,belong-v,一员,归,0.186170918782,poly
-1.07042246149: poly,affect-v,影响,埋,0.0177188724398,syn
-1.07021123209: poly,jump-v,跳,横跨,0.0935456000069,syn
-1.06585754449: poly,power-n,权力,当政,0.061174175134,syn
-1.06253429947: poly,push-v,行程,争取,-0.0420097720346,poly
-1.06200108037: poly,basis-n,基础,基地,0.0933393773678,poly
-1.05890325924: poly,struggle-v,中校,艰难,0.0109551878212,syn
-1.05830993055: poly,hour-n,此刻,小时,0.00902397753982,poly
-1.05374508994: poly,concern-n,担心,忧患,0.162083417653,syn
-1.05132228188: poly,sell-v,齐,销,0.0217856805368,syn
-1.05061123751: poly,join-v,连接,加入,-0.024466055786,poly
-1.05015446475: poly,condemn-v,无奈,谴责,0.135947358734,poly
-1.05011345756: poly,form-v,形成,组阁权,-0.0353040682561,poly
-1.04901580593: poly,push-v,推下,行程,0.00973259302104,poly
-1.04688951104: poly,door-n,后门,闭门,0.108503253187,poly
-1.04656471845: poly,study-v,研究,上学,-0.0128281625204,poly
-1.03715028577: poly,level-n,程度,高层,0.0752589181975,poly
-1.03513538217: poly,reach-v,达,达成,0.101980096126,syn
-1.03156821379: poly,cut-v,掐断,剖析,0.059021887757,poly
-1.0311558028: poly,consider-v,算,看作,-0.0692507434956,syn
-1.02610733882: poly,prepare-v,防范,准备,0.168886179129,syn
-1.02560108528: poly,power-n,当政,力量,0.153392546776,poly
-1.02307039281: poly,reach-v,国贸,达到,0.0506210517984,syn
-1.0218689059: poly,reach-v,国贸,达成,0.0946770235163,syn
-1.02165318169: poly,face-n,面孔,次数,-0.139801178482,poly
-1.02093751854: poly,intend-v,引资,旨在,0.0878386306761,syn
-1.01719815176: poly,depend-v,定,取决于,0.0250663704397,syn
-1.01534566992: poly,invest-v,４０,投资,-0.0477736968742,syn
-1.01491743008: poly,contribute-v,曾经,贴,0.0835706120211,syn
-1.01486151519: poly,face-n,次数,脸,-0.0536416911342,syn
